EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1478350241,,Industrial ,3,15207
1478350664,,Industrial,4,15206
1478350821,,sulfur,5,15217
1478351511,,"Industrial, sulfur",4,15217
1478352101,stuffy nose,acrid industrial coke plant smell. Seems to be Clairton or Edgar Thompson.,4,15217
1478352371,,Industrial polution,5,15218
1478353854,"Headache, sinus, seeping into house even though it is as shut and sealed as possible. Air purifiers are unable to handle it thoroughly.","Industrial, acrid, strong",4,15206
1478354971,,Industrial,4,15218
1478359473,Headache ,"Clairton, the gift that keeps on giving.",4,15218
1478371179,,Sewage,3,15207
1478393585,,Odd,3,15217
1478399011,,"Industrial, sulfur at 8am",4,15217
1478432399,,Sulfur,4,15218
1478432502,,,2,15206
1478434105,,Industrial ,4,15217
1478435133,,,4,15206
1478435313,"Head, nasal, irritation. Nausea setting in.","Sulfurous, acrid stench",4,15206
1478435748,,,3,15206
1478435801,,sulphuric smoke,5,15218
1478436438,,Sulphur,4,15206
1478437270,,Industrial smoke,3,15213
1478437408,extremely frustrated. I was planning to go jogging this morning but now I dare not.,"acrid, industrial, foul smell. My Awair sensor peaked at 864ppb VOC's this morning at 6:20 AM.",4,15217
1478437704,,Coke/industrial pollution smell for a 2nd day in a row and 3rd time in one week. unacceptable. ,4,15206
1478438056,,"Sulfur, co. airport winds S 4-5mph, particle counts high",3,15218
1478438235,,Sulfur,4,15208
1478438237,,Industrial,4,15206
1478438804,,Industrial,3,15208
1478438847,Sore throat,Industrial,3,15207
1478439809,,Sulfur ,3,15217
1478440289,Headache,Industrial,4,15207
1478440956,,Industrial (coal?),3,15217
1478441260,No,Industrial pollution ,5,15218
1478443877,Headache ,Industrial rotten egg smell,3,15206
1478445932,,"Industrial, acrid smell. Like burning.",4,15206
1478446122,,still bad at 10:30am,3,15206
1478449387,,,4,15221
1478450228,headache,burnt eggs with scorched rubber,3,15217
1478450423,,,3,15207
1478461012,,,1,15207
1478473256,,,1,15208
1478473260,,,1,15217
1478489791,,sulfur smell this evening. different from this morning. coming from Clairton or Edgar Thompson ,3,15217
1478522019,Pounding headache,"Sooty, acrid smell, with VOC's over 800ppb and Dylos 0.5 above 5000. The stench leaked into my house last night. Third night in a row!! where can I go for relief??",3,15217
1478523185,,,2,15206
1478523946,sore throat,burning plastic,5,15217
1478532817,,Sewage ,3,15222
1478533354,,,1,15206
1478538179,Eye irritation ,Diesel emissions from construction vehicles,4,15219
1478541161,Sore throat,Diesel pollution from buses,4,15222
1478541668,Headache ,Industrial emissions ,4,15219
1478542380,Eye and throat irritation ,Massive dust cloud from construction vehivle,5,15219
1478562524,,Wood smoke,3,15206
1478563017,,,1,15207
1478563426,,,1,15218
1478563576,,,2,15207
1478570505,,horribly stinky tonight! VOC's just jumped above 800ppb on my Awair. Strong sulfur smell.,5,15217
1478604494,headache,"industrial sooty, smoky",4,15217
1478605649,,Industrial ,3,15217
1478607610,,,3,15217
1478609230,,Industrial,5,15207
1478609352,,,4,15218
1478609368,,Industrial,3,15217
1478610191,,Auto exhaust,3,15201
1478610223,,,3,15206
1478610859,,Industrial ,3,15217
1478610918,,Industrial & lingering exhaust fumes,3,15217
1478611190,,Industrial,3,15206
1478612509,,Smoke,4,15213
1478612940,,Industrial. Smoke. Sulfur. ,4,15213
1478613096,,Rubbery industrial,4,15208
1478613397,Headache,Industrial ,4,15219
1478613843,,Industrial ,3,15221
1478614066,,"Burning coal, co airport wind S 8mph",3,15218
1478614796,None,Sulfur and chemical smell.,4,15206
1478615322,,Heavy sulfur metal. I can also smell it inside Target store. Industrial smell. Acrid. ,5,15206
1478617134,,,3,15206
1478617439,,"sulfer, eggs",3,15221
1478617659,,Industrial sulfur and smoke,3,15213
1478622944,,,3,15206
1478632739,,,3,15222
1478692456,,,1,15206
1478698135,,Faint industrial,2,15206
1478700782,,"Finally, I can go jogging today.",1,15217
1478711746,"cough, watery eyes",burning metal ,4,15201
