EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1478770200,0.1,6.0
1478773800,0.2,8.0
1478777400,0.2,9.0
1478781000,0.2,11.0
1478784600,0.3,12.0
1478788200,0.3,10.0
1478791800,0.2,11.0
1478795400,0.2,4.0
1478799000,0.2,9.0
1478802600,0.2,8.0
1478806200,0.2,10.0
1478809800,0.2,15.0
1478813400,0.2,18.0
1478817000,0.3,25.0
1478820600,0.2,15.0
1478824200,0.2,12.0
1478827800,0.2,11.0
1478831400,0.2,9.0
1478835000,0.2,9.0
1478838600,0.2,8.0
1478842200,0.2,7.0
1478845800,0.2,7.0
1478849400,0.2,8.0
1478853000,0.1,9.0
1478856600,0.1,10.0
1478860200,0.1,10.0
1478863800,0.1,12.0
1478867400,0.2,12.0
1478871000,0.2,17.0
1478874600,0.2,15.0
1478878200,0.1,10.0
1478881800,0.1,5.0
1478885400,0.1,9.0
1478889000,0.1,9.0
1478892600,0.1,9.0
1478896200,0.1,4.0
1478899800,0.1,6.0
1478903400,0.2,6.0
1478907000,0.2,8.0
1478910600,0.2,21.0
1478914200,0.2,19.0
1478917800,0.2,10.0
1478921400,0.2,8.0
1478925000,0.2,9.0
1478928600,0.2,9.0
1478932200,0.2,8.0
1478935800,0.2,8.0
1478939400,0.2,7.0
1478943000,0.2,7.0
1478946600,0.2,13.0
1478950200,0.3,61.0
1478953800,0.3,38.0
1478957400,0.3,16.0
1478961000,0.3,9.0
1478964600,0.2,4.0
1478968200,0.2,5.0
1478971800,0.1,3.0
1478975400,0.1,4.0
1478979000,0.2,5.0
1478982600,0.1,6.0
1478986200,0.2,8.0
1478989800,0.2,16.0
1478993400,0.3,16.0
1478997000,0.4,16.0
1479000600,0.6,21.0
1479004200,0.7,25.0
1479007800,0.7,25.0
1479011400,0.8,24.0
1479015000,0.7,22.0
1479018600,0.8,21.0
1479022200,0.7,18.0
1479025800,0.7,20.0
1479029400,0.6,17.0
1479033000,0.5,16.0
1479036600,0.7,23.0
1479040200,0.6,19.0
1479043800,0.5,15.0
1479047400,0.4,12.0
1479051000,0.3,7.0
1479054600,0.2,8.0
1479058200,0.2,1.0
