EpochTime,3.feed_5975.PM2_5
1477891800,0
1477895400,5
1477899000,9
1477902600,3
1477906200,9
1477909800,5
1477913400,11
1477917000,12
1477920600,18
1477924200,12
1477927800,9
1477931400,8
1477935000,2
1477938600,2
1477942200,1
1477945800,2
1477949400,-1
1477953000,-2
1477956600,4
1477960200,6
1477963800,7
1477967400,8
1477971000,5
1477974600,6
1477978200,7
1477981800,12
1477985400,7
1477989000,7
1477992600,8
1477996200,6
1477999800,6
1478003400,7
1478007000,5
1478010600,12
1478014200,16
1478017800,22
1478021400,22
1478025000,20
1478028600,17
1478032200,16
1478035800,17
1478039400,18
1478043000,20
1478046600,17
1478050200,19
1478053800,20
1478057400,22
1478061000,24
1478064600,26
1478068200,26
1478071800,25
1478075400,28
1478079000,25
1478082600,24
1478086200,23
1478089800,25
1478093400,25
1478097000,25
1478100600,25
1478104200,20
1478107800,17
1478111400,13
1478115000,15
1478118600,13
1478122200,8
1478125800,12
1478129400,18
1478133000,18
1478136600,20
1478140200,23
1478143800,23
1478147400,19
1478151000,26
1478154600,27
1478158200,22
1478161800,22
1478165400,16
1478169000,11
1478172600,10
1478176200,12
1478179800,5
1478183400,7
1478187000,15
1478190600,12
1478194200,9
1478197800,6
1478201400,6
1478205000,2
1478208600,1
1478212200,-1
1478215800,2
1478219400,4
1478223000,6
1478226600,6
1478230200,6
1478233800,4
1478237400,14
1478241000,10
1478244600,4
1478248200,7
1478251800,6
1478255400,4
1478259000,9
1478262600,9
1478266200,11
1478269800,12
1478273400,4
1478277000,7
1478280600,1
1478284200,0
1478287800,3
1478291400,3
1478295000,3
1478298600,4
1478302200,5
1478305800,13
1478309400,8
1478313000,12
1478316600,10
1478320200,10
1478323800,17
1478327400,27
1478331000,40
1478334600,39
1478338200,50
1478341800,46
1478345400,40
1478349000,35
1478352600,31
1478356200,31
1478359800,20
1478363400,8
1478367000,0
1478370600,0
1478374200,1
1478377800,0
1478381400,1
1478385000,-1
1478388600,8
1478392200,10
1478395800,10
1478399400,13
1478403000,12
1478406600,7
1478410200,10
1478413800,12
1478417400,12
1478421000,27
1478424600,28
1478428200,31
1478431800,34
1478435400,35
1478439000,33
1478442600,35
1478446200,28
1478449800,22
1478453400,8
1478457000,8
1478460600,3
1478464200,2
1478467800,5
1478471400,5
1478475000,11
1478478600,10
1478482200,11
1478485800,14
1478489400,19
1478493000,16
1478496600,15
1478500200,8
1478503800,1
1478507400,2
1478511000,5
1478514600,9
1478518200,9
1478521800,31
1478525400,25
1478529000,10
1478532600,8
1478536200,5
1478539800,6
1478543400,5
1478547000,1
1478550600,1
1478554200,-2
1478561400,-1
1478565000,5
1478568600,3
1478572200,10
1478575800,10
1478579400,6
1478583000,7
1478586600,12
1478590200,18
1478593800,22
1478597400,19
1478601000,12
1478604600,11
1478608200,12
1478611800,16
1478615400,20
1478619000,23
1478622600,20
1478626200,17
1478629800,18
1478633400,18
1478637000,21
1478640600,26
1478644200,27
1478647800,29
1478651400,30
1478655000,29
1478658600,38
1478662200,39
1478665800,38
1478669400,43
1478673000,38
1478676600,24
1478680200,22
1478683800,17
1478687400,12
1478691000,13
1478694600,7
1478698200,3
1478701800,9
1478705400,13
1478709000,9
1478712600,7
1478716200,2
1478719800,0
1478723400,0
1478727000,0
1478730600,0
1478734200,-1
1478737800,3
1478741400,0
1478745000,6
1478748600,1
1478752200,9
1478755800,8
1478759400,5
1478763000,11
1478766600,10
1478770200,12
1478773800,10
1478777400,8
1478781000,11
1478784600,16
1478788200,13
1478791800,10
1478795400,12
1478799000,6
1478802600,1
1478806200,4
1478809800,1
1478813400,1
1478817000,5
1478820600,9
1478824200,8
1478827800,8
1478831400,5
1478835000,7
1478838600,5
1478842200,10
1478845800,5
1478849400,4
1478853000,6
1478856600,8
1478860200,9
1478863800,8
1478867400,9
1478871000,11
1478874600,14
1478878200,17
1478881800,6
1478885400,1
1478889000,0
1478892600,0
1478896200,2
1478899800,3
1478903400,2
1478907000,3
1478910600,4
1478914200,7
1478917800,3
1478921400,7
