EpochTime,3.feed_24.PM10_UG_M3
1509643800,24
1509647400,19
1509651000,12
1509654600,16
1509658200,15
1509661800,26
1509665400,40
1509669000,40
1509672600,18
1509676200,26
1509679800,45
1509683400,24
1509687000,11
1509690600,11
1509694200,10
1509697800,11
1509701400,11
1509705000,12
1509708600,14
1509712200,15
1509715800,13
1509719400,12
1509723000,7
1509726600,3
1509730200,3
1509733800,7
1509737400,6
1509741000,5
1509744600,5
1509748200,7
1509751800,10
1509755400,8
1509759000,11
1509762600,12
1509766200,10
1509769800,7
1509773400,7
1509777000,8
1509780600,7
1509784200,6
1509787800,6
1509791400,6
1509795000,6
1509798600,6
1509802200,8
1509805800,9
1509809400,8
1509813000,5
1509816600,4
1509820200,6
1509823800,7
1509827400,8
1509831000,9
1509834600,9
1509838200,8
1509841800,6
1509845400,8
1509849000,8
1509852600,7
1509856200,6
1509859800,5
1509863400,6
1509867000,5
1509870600,5
1509874200,12
1509877800,12
1509881400,6
1509885000,6
1509888600,18
1509892200,25
1509895800,33
1509899400,22
1509903000,15
1509906600,17
1509910200,17
1509913800,19
1509917400,12
1509921000,21
1509924600,18
1509928200,13
1509931800,25
1509935400,36
1509939000,21
1509942600,4
1509946200,2
1509960600,3
1509964200,5
1509967800,6
1509971400,5
1509975000,4
1509978600,0
1509982200,4
1509985800,3
1509989400,3
1509993000,4
1509996600,3
1510000200,3
1510003800,6
1510007400,5
1510011000,6
1510014600,6
1510018200,4
1510021800,7
1510025400,7
1510029000,5
1510032600,6
1510036200,8
1510039800,9
1510043400,9
1510047000,7
1510050600,6
1510054200,5
1510057800,5
1510061400,7
1510065000,5
1510068600,4
1510072200,4
1510075800,3
1510079400,4
1510083000,5
1510086600,5
1510090200,7
1510093800,10
1510097400,8
1510101000,4
1510104600,5
1510108200,5
1510111800,5
1510115400,4
1510119000,5
1510122600,6
1510126200,5
1510129800,4
1510133400,4
1510137000,5
1510140600,6
1510144200,6
1510147800,4
1510151400,6
1510155000,6
1510158600,5
1510162200,3
1510165800,5
1510169400,4
1510173000,5
1510176600,6
1510180200,7
1510183800,9
1510187400,10
1510191000,11
1510194600,10
1510198200,7
1510201800,10
1510205400,11
1510209000,10
1510212600,18
1510216200,14
1510219800,15
1510223400,32
1510227000,33
1510230600,47
1510234200,78
1510237800,49
1510241400,19
1510245000,9
1510248600,6
1510252200,6
1510255800,6
1510259400,8
1510263000,9
1510266600,9
1510270200,8
1510273800,10
1510277400,10
1510281000,10
1510284600,10
1510288200,21
1510291800,21
1510295400,12
1510299000,8
1510302600,10
1510306200,8
1510309800,5
1510313400,4
1510317000,5
1510320600,4
1510324200,4
1510327800,4
1510331400,3
1510335000,3
1510338600,3
1510342200,4
1510345800,5
1510349400,4
1510353000,4
1510356600,4
1510360200,5
1510363800,4
1510367400,7
1510371000,5
1510374600,5
1510378200,4
1510381800,5
1510385400,3
1510389000,3
1510392600,4
1510396200,3
1510399800,4
1510403400,3
1510407000,0
1510410600,1
1510414200,4
1510417800,2
1510421400,2
1510425000,6
1510428600,5
1510432200,6
1510435800,6
1510439400,8
1510443000,9
1510446600,12
1510450200,12
1510453800,12
1510457400,12
1510461000,13
1510464600,27
1510468200,13
1510471800,85
1510475400,25
1510479000,52
1510482600,76
1510486200,60
1510489800,55
1510493400,68
1510497000,34
1510500600,24
1510504200,13
1510507800,13
1510511400,12
1510515000,11
1510518600,13
1510522200,13
1510525800,14
1510529400,14
1510533000,13
1510536600,15
1510540200,14
1510543800,14
1510547400,16
1510551000,16
1510554600,23
1510558200,22
1510561800,21
1510565400,26
1510569000,23
1510572600,18
1510576200,21
1510579800,17
1510583400,15
1510587000,16
1510590600,16
1510594200,14
1510597800,15
1510608600,9
1510612200,10
1510615800,13
1510619400,10
1510623000,10
1510626600,6
1510630200,6
1510633800,6
1510637400,7
1510641000,10
1510644600,10
1510648200,8
1510651800,10
1510655400,10
1510659000,11
1510662600,12
1510666200,13
1510669800,9
1510673400,8
1510677000,6
1510680600,8
1510684200,10
1510687800,12
1510691400,15
1510695000,17
1510698600,14
1510702200,11
1510705800,13
1510709400,13
1510713000,72
1510716600,73
1510720200,58
1510723800,20
1510727400,16
1510731000,14
1510734600,13
1510738200,12
1510741800,11
1510745400,10
1510749000,9
1510752600,8
1510759800,6
1510763400,6
1510767000,14
1510770600,14
1510774200,8
1510777800,14
1510781400,12
1510785000,17
1510788600,35
1510792200,22
1510795800,19
1510799400,15
1510803000,10
1510806600,10
1510810200,7
1510813800,5
1510817400,4
1510821000,3
1510824600,4
1510828200,4
1510831800,5
1510835400,7
1510839000,4
1510842600,7
1510846200,10
1510849800,11
1510853400,6
1510857000,6
1510860600,6
1510864200,5
1510867800,7
1510871400,5
1510875000,6
1510878600,8
1510882200,5
1510885800,4
1510889400,4
1510893000,4
1510896600,4
1510900200,5
1510903800,9
1510907400,6
1510911000,6
1510914600,4
1510918200,5
1510921800,5
1510925400,5
1510929000,6
1510932600,5
1510936200,3
1510939800,6
1510943400,6
1510947000,9
1510950600,9
1510954200,12
1510957800,6
1510961400,8
1510965000,9
1510968600,7
1510972200,10
1510975800,14
1510979400,20
1510983000,13
1510986600,80
1510990200,85
1510993800,39
1510997400,52
1511001000,33
1511004600,27
1511008200,43
1511011800,30
1511015400,30
1511019000,22
1511022600,26
1511026200,27
1511029800,8
1511033400,3
1511037000,15
1511040600,28
1511044200,39
1511047800,16
1511051400,14
1511055000,14
1511058600,11
1511062200,13
1511065800,3
1511069400,3
1511073000,5
1511076600,4
1511080200,2
1511083800,3
1511087400,3
1511091000,4
1511094600,5
1511098200,4
1511101800,3
1511105400,3
1511109000,0
1511112600,3
1511116200,4
1511119800,4
1511123400,6
1511127000,6
1511130600,6
1511134200,7
1511137800,9
1511141400,5
1511145000,5
1511148600,5
1511152200,4
1511155800,8
1511159400,7
1511163000,9
1511166600,10
1511170200,8
1511173800,8
1511177400,9
1511181000,9
1511184600,7
1511188200,7
1511191800,7
1511195400,6
1511199000,6
1511202600,6
1511206200,6
1511209800,7
1511213400,13
1511217000,7
1511220600,6
1511224200,6
1511227800,7
1511231400,9
1511235000,22
1511238600,44
1511242200,27
1511245800,17
1511249400,29
1511253000,41
1511256600,18
1511260200,6
1511263800,4
1511267400,5
1511271000,6
1511274600,12
1511278200,14
1511281800,9
1511285400,8
1511289000,7
1511292600,6
1511296200,10
1511299800,9
1511303400,9
1511307000,9
1511310600,8
1511314200,15
1511317800,24
1511321400,14
1511325000,13
1511328600,13
1511332200,17
1511335800,19
1511339400,17
1511343000,9
1511346600,8
1511350200,11
1511353800,11
1511357400,10
1511361000,5
1511364600,4
1511368200,5
1511371800,5
1511375400,7
1511379000,7
1511382600,8
1511386200,10
1511389800,11
1511393400,8
1511397000,3
1511400600,3
1511404200,3
1511407800,6
1511411400,5
1511415000,4
1511418600,6
1511422200,9
1511425800,8
1511429400,5
1511433000,9
1511436600,82
1511440200,73
1511443800,102
1511447400,43
1511451000,5
1511454600,1
1511458200,3
1511461800,5
1511465400,4
1511469000,6
1511472600,6
1511476200,6
1511479800,7
1511483400,8
1511487000,9
1511490600,9
1511494200,12
1511497800,17
1511501400,19
1511505000,33
1511508600,50
1511512200,104
1511515800,59
1511519400,31
1511523000,24
1511526600,63
1511530200,74
1511533800,46
1511537400,12
1511541000,12
1511544600,4
1511548200,5
1511551800,6
1511555400,7
1511559000,8
1511562600,31
1511566200,38
1511569800,33
1511573400,42
1511577000,58
1511580600,32
1511584200,49
1511587800,51
1511591400,11
1511595000,6
1511598600,6
1511602200,8
1511605800,10
1511609400,10
1511613000,11
1511616600,13
1511620200,13
1511623800,16
1511627400,15
1511631000,19
1511634600,15
1511638200,13
1511641800,11
1511645400,8
1511649000,8
1511652600,10
1511656200,8
1511659800,9
1511663400,7
1511667000,9
1511670600,11
1511674200,9
1511677800,9
1511681400,8
1511685000,6
1511688600,5
1511692200,5
1511695800,4
1511699400,3
1511703000,3
1511706600,3
1511710200,3
1511713800,4
1511717400,3
1511721000,3
1511724600,4
1511728200,5
1511731800,3
1511735400,4
1511739000,6
1511742600,7
1511746200,8
1511749800,8
1511753400,9
1511757000,7
1511760600,6
1511764200,8
1511767800,7
1511771400,8
1511775000,8
1511778600,9
1511782200,17
1511785800,13
1511789400,9
1511793000,12
1511796600,14
1511800200,12
1511803800,12
1511807400,13
1511811000,14
1511814600,16
1511818200,17
1511821800,16
1511825400,16
1511829000,66
1511832600,106
1511836200,68
1511839800,67
1511843400,64
1511847000,54
1511850600,59
1511854200,61
1511857800,65
1511861400,77
1511865000,66
1511868600,62
1511872200,71
1511875800,69
1511879400,84
1511883000,40
1511886600,15
1511890200,9
1511893800,9
1511897400,11
1511901000,8
1511904600,11
1511908200,9
1511911800,8
1511915400,7
1511919000,7
1511922600,11
1511926200,9
1511929800,8
1511933400,8
1511937000,11
1511940600,12
1511944200,13
1511947800,13
1511951400,14
1511955000,16
1511958600,16
1511962200,18
1511965800,25
1511969400,19
1511973000,7
1511976600,7
1511980200,7
1511983800,9
1511987400,11
1511991000,13
1511994600,12
1511998200,13
1512001800,12
1512005400,12
1512009000,9
1512012600,9
1512016200,8
1512019800,9
1512023400,28
1512027000,16
1512030600,14
1512034200,75
1512037800,51
1512041400,73
1512045000,76
1512048600,71
1512052200,79
1512055800,71
1512063000,18
1512066600,20
1512070200,17
1512073800,19
1512077400,21
1512081000,17
1512084600,11
1512088200,12
1512091800,10
1512095400,10
1512099000,10
1512102600,11
1512106200,14
1512109800,23
1512113400,14
1512117000,14
1512120600,23
1512124200,51
1512127800,27
1512131400,8
1512135000,14
1512138600,16
1512142200,79
1512145800,41
1512149400,14
1512153000,10
1512156600,10
1512160200,9
1512163800,12
1512167400,15
1512171000,10
1512174600,50
1512178200,23
1512181800,33
1512185400,41
1512189000,95
1512192600,134
1512196200,92
1512199800,22
1512203400,61
1512207000,18
1512210600,12
1512214200,15
1512217800,20
1512221400,24
1512225000,71
1512228600,114
1512232200,193
1512235800,111
1512239400,51
1512243000,29
1512246600,16
1512250200,13
1512253800,12
1512257400,11
1512261000,14
1512264600,17
1512268200,19
1512271800,20
1512275400,66
1512279000,118
1512282600,71
1512286200,77
1512289800,193
1512293400,147
1512297000,111
1512300600,114
1512304200,90
1512307800,97
1512311400,100
1512315000,38
1512318600,16
1512322200,10
1512325800,8
1512329400,13
1512333000,22
1512336600,15
1512340200,13
1512343800,21
1512347400,46
1512351000,30
1512354600,25
1512358200,110
1512361800,151
1512365400,127
1512369000,79
1512372600,85
1512376200,43
1512379800,50
1512383400,118
1512387000,67
1512390600,14
1512394200,12
1512397800,10
1512401400,31
1512405000,35
1512408600,26
1512412200,19
1512415800,19
1512419400,9
1512423000,11
1512426600,13
1512430200,12
1512433800,11
1512437400,10
1512441000,12
1512444600,20
1512448200,17
1512451800,21
1512455400,26
1512459000,34
1512462600,20
1512466200,47
1512469800,33
1512473400,17
1512477000,11
1512480600,12
1512484200,9
1512487800,10
1512491400,17
1512495000,21
1512498600,6
1512502200,8
1512505800,7
1512509400,8
1512513000,4
1512516600,2
1512520200,6
1512523800,7
1512527400,3
1512531000,4
1512534600,3
1512538200,2
1512541800,3
1512545400,3
1512549000,3
1512552600,2
1512556200,3
1512559800,4
1512563400,5
1512567000,3
1512570600,5
1512577800,11
1512581400,6
1512585000,7
1512588600,8
1512592200,6
1512595800,7
1512599400,7
1512603000,6
1512606600,7
1512610200,7
1512613800,7
1512617400,7
1512621000,8
1512624600,6
1512628200,6
1512631800,6
1512635400,6
1512639000,7
1512642600,5
1512646200,6
1512649800,6
1512653400,5
1512657000,7
1512660600,7
1512664200,5
1512667800,5
1512671400,6
1512675000,10
1512678600,9
1512682200,7
1512685800,7
1512689400,11
1512693000,15
1512696600,5
1512700200,5
1512703800,5
1512707400,4
1512711000,4
1512714600,5
