EpochTime,3.feed_3.PM10B_UG_M3..3.feed_3.PM10_640_UG_M3
1479000600,27.0
1479004200,44.0
1479007800,85.0
1479011400,55.0
1479015000,78.0
1479018600,69.0
1479022200,52.0
1479025800,42.0
1479029400,64.0
1479033000,56.0
1479036600,52.0
1479040200,59.0
1479043800,46.0
1479047400,50.0
1479051000,41.0
1479054600,29.0
1479058200,20.0
1479061800,11.0
1479065400,12.0
1479069000,10.0
1479072600,8.0
1479076200,7.0
1479079800,9.0
1479083400,39.0
1479087000,68.0
1479090600,65.0
1479094200,53.0
1479097800,52.0
1479101400,34.0
1479105000,31.0
1479108600,31.0
1479112200,30.0
1479115800,45.0
1479119400,49.0
1479123000,71.0
1479126600,63.0
1479130200,65.0
1479133800,101.0
1479137400,139.0
1479141000,87.0
1479144600,50.0
1479148200,31.0
1479151800,29.0
1479155400,24.0
1479159000,21.0
1479162600,15.0
1479166200,23.0
1479169800,34.0
1479173400,65.0
1479177000,37.0
1479180600,52.0
1479184200,32.0
1479187800,23.0
1479191400,43.0
1479195000,35.0
1479198600,35.0
1479202200,46.0
1479205800,34.0
1479209400,37.0
1479213000,40.0
1479216600,49.0
1479220200,88.0
1479223800,101.0
1479227400,130.0
1479231000,76.0
1479234600,40.0
1479238200,31.0
1479241800,18.0
1479245400,19.0
1479249000,19.0
1479252600,33.0
1479256200,40.0
1479259800,66.0
1479263400,69.0
1479267000,53.0
1479270600,98.0
1479274200,61.0
1479277800,65.0
1479281400,63.0
1479285000,47.0
1479288600,66.0
1479292200,50.0
1479295800,74.0
1479299400,89.0
1479303000,93.0
1479306600,88.0
1479310200,51.0
1479313800,40.0
1479317400,32.0
1479321000,39.0
1479324600,19.0
1479328200,28.0
1479331800,27.0
1479335400,26.0
1479339000,30.0
1479342600,34.0
1479346200,20.0
1479349800,42.0
1479353400,31.0
1479357000,38.0
1479360600,51.0
1479364200,71.0
1479367800,65.0
1479371400,58.0
1479375000,37.0
1479378600,30.0
1479382200,46.0
1479385800,52.0
1479389400,59.0
1479393000,65.0
1479396600,56.0
1479400200,170.0
1479403800,65.0
1479407400,57.0
1479411000,44.0
1479414600,34.0
1479418200,34.0
1479421800,26.0
1479425400,23.0
1479429000,15.0
1479432600,27.0
1479436200,13.0
1479439800,21.0
1479443400,34.0
1479447000,30.0
1479450600,30.0
1479454200,41.0
1479457800,33.0
1479461400,25.0
1479465000,27.0
1479468600,37.0
1479472200,39.0
1479475800,77.0
1479479400,97.0
1479483000,85.0
1479490200,51.0
1479493800,47.0
1479497400,40.0
1479501000,29.0
1479504600,34.0
1479508200,44.0
1479511800,16.0
1479515400,78.0
1479519000,55.0
1479522600,25.0
1479526200,51.0
1479529800,32.0
1479533400,32.0
1479537000,54.0
1479540600,117.0
1479544200,80.0
1479547800,63.0
1479551400,54.0
1479555000,71.0
1479558600,69.0
1479562200,95.0
1479565800,59.0
1479569400,7.0
1479573000,1.0
1479576600,0.0
1479580200,6.0
1479583800,4.0
1479587400,6.0
1479591000,5.0
1479594600,3.0
1479598200,0.0
1479601800,1.0
1479605400,3.0
1479609000,4.0
1479612600,8.0
1479616200,13.0
1479619800,13.0
1479623400,7.0
1479627000,6.0
1479630600,9.0
1479634200,6.0
1479637800,3.0
1479641400,7.0
1479645000,8.0
1479648600,6.0
1479652200,6.0
1479655800,30.0
1479659400,14.0
1479663000,12.0
1479666600,10.0
1479670200,8.0
1479673800,8.0
1479677400,7.0
1479681000,16.0
1479684600,12.0
1479688200,9.0
1479691800,8.0
1479695400,5.0
1479699000,4.0
1479702600,7.0
1479706200,7.0
1479709800,8.0
1479713400,7.0
1479717000,12.0
1479720600,7.0
1479724200,5.0
1479727800,4.0
1479731400,10.0
1479735000,10.0
1479738600,10.0
1479742200,8.0
1479745800,10.0
1479749400,8.0
1479753000,8.0
1479756600,7.0
1479760200,5.0
1479763800,7.0
1479767400,5.0
1479771000,10.0
1479774600,9.0
1479778200,9.0
1479781800,11.0
1479785400,10.0
1479789000,12.0
1479792600,14.0
1479796200,11.0
1479799800,10.0
1479803400,9.0
1479807000,10.0
1479810600,12.0
1479814200,11.0
1479817800,18.0
1479821400,15.0
1479825000,16.0
1479828600,12.0
1479832200,16.0
1479835800,19.0
1479839400,9.0
1479843000,19.0
1479846600,10.0
1479850200,17.0
1479853800,15.0
1479857400,24.0
1479861000,17.0
1479864600,16.0
1479868200,27.0
1479871800,31.0
1479875400,25.0
1479879000,55.0
1479882600,48.0
1479886200,44.0
1479889800,45.0
1479893400,48.0
1479897000,32.0
1479900600,28.0
1479904200,60.0
1479907800,153.0
1479911400,69.0
1479915000,26.0
1479918600,21.0
1479922200,11.0
1479925800,18.0
1479929400,12.0
1479933000,18.0
1479936600,32.0
1479940200,25.0
1479943800,16.0
1479947400,23.0
1479951000,22.0
1479954600,33.0
1479958200,34.0
1479961800,34.0
1479965400,14.0
1479969000,27.0
1479972600,39.0
1479976200,34.0
1479979800,31.0
1479983400,29.0
1479987000,47.0
1479990600,52.0
1479994200,53.0
1479997800,62.0
1480001400,32.0
1480005000,18.0
1480008600,13.0
1480012200,12.0
1480015800,14.0
1480019400,13.0
1480023000,10.0
1480026600,6.0
1480030200,8.0
1480033800,7.0
1480037400,8.0
1480041000,8.0
1480044600,6.0
1480048200,4.0
1480051800,12.0
1480055400,8.0
1480059000,12.0
1480062600,10.0
1480066200,6.0
1480069800,9.0
1480073400,16.0
1480077000,10.0
1480080600,9.0
1480084200,9.0
1480087800,8.0
1480091400,13.0
1480095000,9.0
1480098600,5.0
1480102200,6.0
1480105800,6.0
1480109400,7.0
1480113000,14.0
1480116600,10.0
1480120200,14.0
1480123800,9.0
1480127400,10.0
1480131000,17.0
1480134600,5.0
1480138200,6.0
1480141800,6.0
1480145400,12.0
1480149000,14.0
1480152600,8.0
1480156200,4.0
1480159800,5.0
1480163400,8.0
1480167000,5.0
1480170600,11.0
1480174200,16.0
1480177800,23.0
1480181400,16.0
1480185000,6.0
1480188600,11.0
1480192200,15.0
1480195800,9.0
1480199400,8.0
1480203000,5.0
1480206600,11.0
1480210200,11.0
1480213800,11.0
1480217400,13.0
1480221000,19.0
1480224600,12.0
1480228200,9.0
1480231800,6.0
1480235400,7.0
1480239000,6.0
1480242600,8.0
1480246200,18.0
1480249800,13.0
1480253400,11.0
1480257000,13.0
1480260600,14.0
1480264200,13.0
1480267800,13.0
1480271400,9.0
1480275000,17.0
1480278600,13.0
1480282200,14.0
1480285800,23.0
1480289400,22.0
1480293000,28.0
1480296600,25.0
1480300200,17.0
1480303800,20.0
1480307400,24.0
1480311000,15.0
1480314600,20.0
1480318200,34.0
1480321800,22.0
1480325400,9.0
1480329000,16.0
1480332600,24.0
1480336200,31.0
1480339800,28.0
1480343400,28.0
1480347000,80.0
1480350600,95.0
1480357800,58.0
1480361400,58.0
1480365000,50.0
1480368600,23.0
1480372200,16.0
1480375800,36.0
1480379400,20.0
1480383000,44.0
1480386600,25.0
1480390200,27.0
1480393800,27.0
1480397400,17.0
1480401000,15.0
1480404600,9.0
1480408200,20.0
1480411800,47.0
1480415400,50.0
1480419000,13.0
1480422600,45.0
1480426200,63.0
1480429800,49.0
1480433400,24.0
1480437000,19.0
1480440600,16.0
1480444200,13.0
1480447800,16.0
1480451400,12.0
1480455000,12.0
1480458600,9.0
1480462200,26.0
1480465800,33.0
1480469400,53.0
1480473000,29.0
1480476600,17.0
1480480200,14.0
1480483800,12.0
1480487400,23.0
1480491000,15.0
1480494600,16.0
1480498200,13.0
1480501800,41.0
1480505400,12.0
1480509000,28.0
1480512600,26.0
1480516200,6.0
1480519800,7.0
1480523400,20.0
1480527000,19.0
