EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1479349800,34.0
1479353400,40.0
1479357000,36.0
1479360600,34.0
1479364200,31.0
1479367800,31.0
1479371400,28.0
1479375000,22.0
1479378600,21.0
1479382200,31.0
1479385800,26.0
1479389400,40.0
1479393000,41.0
1479396600,46.0
1479400200,50.0
1479403800,74.0
1479407400,29.0
1479411000,22.0
1479414600,27.0
1479418200,32.0
1479421800,31.0
1479425400,37.0
1479429000,23.0
1479432600,24.0
1479436200,30.0
1479439800,33.0
1479443400,31.0
1479447000,30.0
1479450600,23.0
1479454200,27.0
1479457800,29.0
1479461400,25.0
1479465000,26.0
1479468600,24.0
1479472200,30.0
1479475800,47.0
1479479400,54.0
1479483000,64.0
1479486600,73.0
1479493800,27.0
1479497400,25.0
1479501000,14.0
1479504600,20.0
1479508200,25.0
1479511800,34.0
1479515400,34.0
1479519000,45.0
1479522600,37.0
1479526200,40.0
1479529800,27.0
1479533400,33.0
1479537000,27.0
1479540600,26.0
1479544200,32.0
1479547800,29.0
1479551400,22.0
1479555000,20.0
1479558600,24.0
1479562200,29.0
1479565800,42.0
1479583800,4.0
1479587400,3.0
1479591000,1.0
1479594600,2.0
1479598200,2.0
1479601800,2.0
1479605400,6.0
1479609000,4.0
1479612600,2.0
1479616200,3.0
1479619800,3.0
1479623400,2.0
1479627000,1.0
1479630600,1.0
1479634200,3.0
1479637800,3.0
1479641400,7.0
1479645000,4.0
1479648600,3.0
1479652200,3.0
1479655800,4.0
1479659400,8.0
1479663000,6.0
1479666600,7.0
1479670200,5.0
1479673800,6.0
1479677400,3.0
1479681000,8.0
1479684600,6.0
1479688200,5.0
1479691800,3.0
1479695400,5.0
1479699000,6.0
1479702600,2.0
1479706200,6.0
1479709800,4.0
1479713400,3.0
1479717000,2.0
1479720600,1.0
1479724200,3.0
1479727800,5.0
1479731400,6.0
1479735000,5.0
1479738600,5.0
1479742200,9.0
1479745800,10.0
1479749400,10.0
1479753000,16.0
1479756600,20.0
1479760200,15.0
1479763800,8.0
1479767400,9.0
1479771000,7.0
1479774600,4.0
1479778200,6.0
1479781800,9.0
1479785400,12.0
1479789000,10.0
1479792600,10.0
1479796200,8.0
1479799800,10.0
1479803400,7.0
1479807000,7.0
1479810600,12.0
1479814200,13.0
1479817800,13.0
1479821400,17.0
1479825000,14.0
1479828600,16.0
1479832200,14.0
1479835800,6.0
1479839400,22.0
1479843000,15.0
1479846600,12.0
1479850200,14.0
1479853800,18.0
1479857400,18.0
1479861000,20.0
1479864600,28.0
1479868200,26.0
1479871800,22.0
1479875400,24.0
1479879000,17.0
1479882600,24.0
1479886200,18.0
1479889800,16.0
1479893400,18.0
1479897000,18.0
1479900600,21.0
1479904200,21.0
1479907800,40.0
1479911400,33.0
1479915000,30.0
1479918600,15.0
1479922200,18.0
1479925800,21.0
1479929400,19.0
1479933000,15.0
1479936600,21.0
1479940200,19.0
1479943800,28.0
1479947400,29.0
1479951000,25.0
1479954600,28.0
1479958200,27.0
1479961800,27.0
1479965400,28.0
1479969000,22.0
1479972600,21.0
1479976200,20.0
1479979800,18.0
1479983400,21.0
1479987000,24.0
1479990600,32.0
1479994200,31.0
1479997800,31.0
1480001400,25.0
1480005000,24.0
1480008600,17.0
1480012200,18.0
1480015800,10.0
1480019400,6.0
1480023000,7.0
1480026600,10.0
1480030200,9.0
1480033800,7.0
1480037400,4.0
1480041000,5.0
1480044600,4.0
1480048200,2.0
1480051800,3.0
1480055400,3.0
1480059000,2.0
1480062600,2.0
1480066200,5.0
1480069800,7.0
1480073400,11.0
1480077000,21.0
1480080600,16.0
1480084200,13.0
1480087800,10.0
1480091400,7.0
1480095000,7.0
1480098600,6.0
1480102200,6.0
1480105800,6.0
1480109400,4.0
1480113000,12.0
1480116600,8.0
1480120200,6.0
1480123800,7.0
1480127400,11.0
1480131000,11.0
1480134600,15.0
1480138200,7.0
1480141800,8.0
1480145400,7.0
1480149000,9.0
1480152600,6.0
1480156200,5.0
1480159800,7.0
1480163400,14.0
1480167000,13.0
1480170600,11.0
1480174200,13.0
1480177800,14.0
1480181400,15.0
1480185000,9.0
1480188600,9.0
1480192200,9.0
1480195800,6.0
1480199400,8.0
1480203000,8.0
1480206600,7.0
1480210200,9.0
1480213800,7.0
1480217400,12.0
1480221000,7.0
1480224600,10.0
1480228200,9.0
1480231800,7.0
1480235400,5.0
1480239000,4.0
1480242600,4.0
1480246200,7.0
1480249800,10.0
1480253400,17.0
1480257000,13.0
1480260600,8.0
1480264200,12.0
1480267800,11.0
1480271400,10.0
1480275000,11.0
1480278600,11.0
1480282200,15.0
1480285800,9.0
1480289400,20.0
1480293000,22.0
1480296600,19.0
1480300200,18.0
1480303800,18.0
1480307400,17.0
1480311000,22.0
1480314600,24.0
1480318200,20.0
1480321800,19.0
1480325400,23.0
1480329000,21.0
1480332600,17.0
1480336200,22.0
1480339800,23.0
1480343400,25.0
1480347000,27.0
1480350600,48.0
1480354200,29.0
1480357800,52.0
1480361400,33.0
1480365000,34.0
1480368600,36.0
1480372200,25.0
1480375800,22.0
1480379400,17.0
1480383000,18.0
1480386600,17.0
1480390200,11.0
1480393800,15.0
1480397400,12.0
1480401000,9.0
1480404600,15.0
1480408200,6.0
1480411800,7.0
1480415400,10.0
1480419000,14.0
1480422600,19.0
1480426200,21.0
1480433400,23.0
1480437000,14.0
1480440600,6.0
1480444200,5.0
1480447800,17.0
1480451400,10.0
1480455000,17.0
1480458600,21.0
1480462200,14.0
1480465800,24.0
1480469400,26.0
1480473000,17.0
1480476600,17.0
1480480200,19.0
1480483800,18.0
1480487400,22.0
1480491000,16.0
1480494600,22.0
1480498200,24.0
1480501800,18.0
1480505400,16.0
